Id	Name	Longitude	Latitude	Depth	RecentDate	OldestDate	Archive	DataType	Reference	DOI
185	-	22.7	-18.3	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003982
186	-	18	-18.5	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003983
187	-	13.1	-18.4	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003984
188	-	3.5	-16.8	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003985
189	-	-1.2	-15.8	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003986
190	-	-5.8	-14.9	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003987
191	-	-5.1	-13.4	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003988
192	-	-10.9	-14	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003989
193	-	-9.8	-17	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003990
194	-	-13.8	-22.6	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003991
195	-	-17.7	-28.1	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003992
196	-	-20.7	-32.3	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003993
197	-	-23.6	-36.6	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003994
198	-	-25.7	-39.6	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003995
199	-	-29.6	-45.6	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003996
200	-	-32.7	-50.4	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003997
201	-	-34.5	-53.4	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003998
202	-	-38.7	-56.2	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003999
203	-	-47.1	-57	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD004000
204	-	36.8	-27.7	0	0	0	Iron from dust sample	Iron	Herut,unpublished, from Mahowald,2009	10.1029/2003JD004001
205	-	27.8	-75.5	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004002
206	-	28.1	-70.9	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004003
207	-	28.4	-66.9	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004004
208	-	28.6	-63.3	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004005
209	-	29.2	-55.2	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004006
210	-	29.5	-51.3	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004007
211	-	29.9	-48.2	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004008
212	-	29.6	-46.5	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004009
213	-	27.8	-45	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004010
214	-	25.3	-45	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004011
215	-	21.5	-45	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004012
216	-	16.8	-45	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004013
217	-	13.2	-45	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004014
218	-	10.2	-45.2	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004015
219	-	10.2	-46.5	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004016
220	-	10.5	-47.8	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004017
221	-	10.5	-47.8	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004018
222	-	10.5	-55.3	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004019
223	-	10.1	-53.5	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004020
224	-	9.2	-51.2	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004021
225	-	9.2	-49.3	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004022
226	-	9.4	-47.5	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004023
227	-	7.4	-48.2	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004024
228	-	6.3	-47.1	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004025
229	-	7.2	-45.1	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004026
230	-	7.2	-43	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004027
231	-	8.6	-41.3	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004028
232	-	9.3	-41.5	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004029
233	-	10.9	-42.4	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004030
234	-	10.1	-44.7	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004031
235	-	9.8	-44.5	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004032
236	-	10.6	-46.6	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004033
237	-	9.4	-49.2	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004034
238	-	9.1	-51.8	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004035
239	-	9.4	-55.3	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004036
240	-	10.9	-56.1	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004037
241	-	11.3	-54.8	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004038
242	-	29.2	-27.4	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004039
243	-	29.3	-29.6	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004040
244	-	29.4	-33.5	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004041
245	-	29.5	-37.4	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004042
246	-	29.5	-39.3	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004043
247	-	29.6	-43.2	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004044
248	-	29.6	-45	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004045
249	-	25.5	-48.6	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004046
250	-	22.6	-51.3	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004047
251	-	16.3	-56.8	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004048
252	-	11.8	-54.4	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004049
253	-	11.8	-54.4	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004050
254	-	10.4	-48.1	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004051
255	-	10.4	-48.1	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004052
256	-	10.4	-48.1	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004053
257	-	9.8	-45.3	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004054
258	-	10.1	-45.4	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004055
259	-	10.2	-45.5	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004056
260	-	11	-49.3	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004057
261	-	11.6	-58.2	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004058
262	-	10.3	-56.3	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004059
263	-	10.2	-56.3	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004060
264	-	10.2	-56.3	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004061
265	-	11.9	-54.9	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
266	-	10.4	-53	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
267	-	8.7	-51	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
268	-	7.2	-48.5	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
269	-	5.7	-46.4	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
270	-	4.8	-43.9	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
271	-	3.8	-42.8	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
272	-	3.3	-44.2	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
273	-	3.9	-46.1	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
274	-	5.8	-48	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
275	-	6.2	-50.1	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
276	-	8.2	-52.8	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
277	-	10.5	-55	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
278	-	10.6	-55.8	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
279	-	12.5	-55	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
280	-	12.5	-54.1	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
281	-	11.4	-53.8	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
282	-	11.8	-54.6	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
283	-	12	-57.6	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
284	-	11.4	-55.5	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
285	-	11.1	-53.4	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
286	-	9.9	-52.1	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
287	-	7.9	-52	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
288	-	7	-51	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	
289	-	7.7	-50.8	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2005GC000977
290	-	9.1	-52.9	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2005GC000978
291	-	10.5	-55.1	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2005GC000979
292	-	12.1	-56.5	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2005GC000980
293	-	11	-55.4	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2005GC000981
294	-	9.4	-55.4	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2005GC000982
295	-	8	-54.9	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2005GC000983
296	-	8.5	-54.9	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2005GC000984
297	-	10.8	-55.9	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2005GC000985
298	-	12.1	-56.1	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2005GC000986
299	-	11.8	-56.3	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2005GC000987
300	-	11	-55.4	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2005GC000988
301	-	10.7	-53.4	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2005GC000989
302	-	10.6	-51.3	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2005GC000990
303	-	10.5	-49.2	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2005GC000991
304	-	8.1	-49.4	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2005GC000992
305	-	8.1	-53	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2005GC000993
306	-	9.1	-56.7	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2005GC000994
307	-	10.3	-56.6	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2005GC000995
308	-	10.8	-55.2	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2005GC000996
309	-	51.7	2.4	0	0	0	Iron from dust sample	Iron	Losno et al., 1992	10.1029/2005GC000997
310	-	48.8	-3.5	0	0	0	Iron from dust sample	Iron	Losno et al., 1992	10.1029/2005GC000998
311	-	45.3	-10.7	0	0	0	Iron from dust sample	Iron	Losno et al., 1992	10.1029/2005GC000999
312	-	42.4	-15.7	0	0	0	Iron from dust sample	Iron	Losno et al., 1992	10.1029/2005GC001000
313	-	40.3	-19.3	0	0	0	Iron from dust sample	Iron	Losno et al., 1992	10.1029/2005GC001001
314	-	38.1	-23.7	0	0	0	Iron from dust sample	Iron	Losno et al., 1992	10.1029/2005GC001002
315	-	34.6	-27.3	0	0	0	Iron from dust sample	Iron	Losno et al., 1992	10.1029/2005GC001003
316	-	29.1	-29.2	0	0	0	Iron from dust sample	Iron	Losno et al., 1992	10.1029/2005GC001004
317	-	21.7	-30	0	0	0	Iron from dust sample	Iron	Losno et al., 1992	10.1029/2005GC001005
318	-	13.7	-30	0	0	0	Iron from dust sample	Iron	Losno et al., 1992	10.1029/2005GC001006
319	-	7.5	-30	0	0	0	Iron from dust sample	Iron	Losno et al., 1992	10.1029/2005GC001007
320	-	2.4	-30	0	0	0	Iron from dust sample	Iron	Losno et al., 1992	10.1029/2005GC001008
321	-	-2.9	-30	0	0	0	Iron from dust sample	Iron	Losno et al., 1992	10.1029/2005GC001009
322	-	-9.8	-30	0	0	0	Iron from dust sample	Iron	Losno et al., 1992	10.1029/2005GC001010
323	-	-17.2	-30	0	0	0	Iron from dust sample	Iron	Losno et al., 1992	10.1029/2005GC001011
324	-	-23.1	-30	0	0	0	Iron from dust sample	Iron	Losno et al., 1992	10.1029/2005GC001012
325	-	-29.2	-31.3	0	0	0	Iron from dust sample	Iron	Losno et al., 1992	10.1029/2005GC001013
326	-	-30.3	-35.1	0	0	0	Iron from dust sample	Iron	Losno et al., 1992	10.1029/2005GC001014
327	-	58.5	6.4	0	0	0	Iron from dust sample	Iron	Maenhaut et al,1997	10.1029/2005GC001015
328	-	58.2	8.2	0	0	0	Iron from dust sample	Iron	Maenhaut et al,1997	10.1029/2005GC001016
329	-	51.1	4.1	0	0	0	Iron from dust sample	Iron	Maenhaut et al,1997	10.1029/2005GC001017
330	-	51	3.4	0	0	0	Iron from dust sample	Iron	Maenhaut et al,1997	10.1029/2005GC001018
331	-	27	-140	0	0	0	Iron from dust sample	Iron	Wu et al., 2007	10.1029/2005GC001019
332	-	29	-69	0	0	0	Iron from dust sample	Iron	Wu et al., 2007	10.1029/2005GC001020
333	-	30.65	138.68	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2005GC001021
334	-	29	140.75	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2005GC001022
335	-	28.02	142.02	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2005GC001023
336	-	29.98	143.49	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2005GC001024
337	-	31.69	144.78	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2005GC001025
338	-	34.13	146.67	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2005GC001026
339	-	34.46	147.02	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2005GC001027
340	-	34.44	146.69	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2005GC001028
341	-	34.59	144.5	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2005GC001029
342	-	35.88	141.85	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2005GC001030
343	-	37.17	143.83	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2005GC001031
344	-	38.49	145.9	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2005GC001032
345	-	41.23	150.33	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2005GC001033
346	-	44	155	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2005GC001034
347	-	44	155	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2005GC001035
348	-	44	155	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2005GC001036
349	-	44.38	155.73	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003958
350	-	46.02	158.89	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003959
351	-	47.16	161.16	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003960
352	-	48.85	164.59	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003961
353	-	50	167	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003962
354	-	50	167.76	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003963
355	-	49.76	170.58	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003964
356	-	46.94	170.58	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003965
357	-	44.9	170.58	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003966
358	-	41.88	170.58	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003967
359	-	39.85	170.58	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003968
360	-	39.29	170.57	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003969
361	-	37.31	170.58	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003970
362	-	34.33	170.58	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003971
363	-	33.77	170.57	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003972
364	-	31.37	170.58	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003973
365	-	30.5	170.58	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003974
366	-	28.47	170.5	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003975
367	-	26.59	170.42	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003976
368	-	24.25	170.33	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003977
369	-	24.25	170.33	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003978
370	-	24.27	170.42	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003979
371	-	24.7	172.47	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003980
372	-	25.33	175.45	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003981
373	-	25.78	177.62	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003982
374	-	26.44	-179.19	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003983
375	-	26.92	-176.89	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003984
376	-	26.06	-175.1	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003985
377	-	26	-175	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003986
378	-	25.6	-172.24	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003987
379	-	25.19	-170.12	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003988
380	-	24.76	-167.55	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003989
381	-	24.07	-165.54	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003990
382	-	23.13	-162.98	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003991
383	-	22.48	-160.88	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003992
384	-	22.74	-158.03	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003993
385	-	22.75	-158	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003994
386	-	22.87	-157.76	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003995
387	-	23.74	-155.96	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003996
388	-	24.95	-153.44	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003997
389	-	25.92	-151.39	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003998
390	-	27.99	-150.15	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD003999
391	-	28.84	-150.45	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD004000
392	-	26.49	-152.17	0	0	0	Iron from dust sample	Iron	Buck et al. GGG, 2006	10.1029/2003JD004001
